噪声强度(%),MRE,MRE_SD,加权投票,多数投票
0,85.82,1.04,85.78,84.22
5,83.29,3.77,84.93,83.29
10,82.36,1.24,82.76,81.16
15,82.53,1.20,82.44,80.58
20,81.38,1.47,81.78,80.13
30,81.69,2.27,81.96,79.16
40,80.67,0.83,81.16,78.62
50,80.04,0.95,80.27,77.11
