噪声强度(%),MRE,MRE_SD,加权投票,多数投票
0,85.82,1.04,85.78,84.22
5,82.62,1.09,82.09,81.20
10,80.44,1.02,80.67,79.38
15,79.73,0.69,78.67,77.11
20,78.49,0.56,75.78,74.89
30,78.44,1.63,73.33,72.40
40,77.69,1.34,69.20,68.36
50,75.64,0.20,65.47,64.62
