噪声强度(%),MRE,MRE_SD,加权投票,多数投票
0,85.82,1.04,85.78,84.22
5,83.69,1.79,83.87,82.89
10,82.27,0.80,83.24,82.36
15,80.93,3.24,82.13,81.96
20,81.11,1.87,80.49,80.93
30,77.69,1.09,77.82,78.31
40,77.60,0.40,76.71,77.64
50,76.49,2.19,74.71,76.44
